PERSON,sentence,page_where_occured
Roy,"A post criticizing the Singaporean government’s management of the Central Provident Fund (CPF) for retirees got blogger Roy Ngerng into deep trouble with Prime Minister Lee Hsien Loong, who is not only suing him but also seeking a summary judgement, in which the court would rule without examining the substance of the case.
",3kyl4i7bfdgwelmf.htm
Ngerng,"A post criticizing the Singaporean government’s management of the Central Provident Fund (CPF) for retirees got blogger Roy Ngerng into deep trouble with Prime Minister Lee Hsien Loong, who is not only suing him but also seeking a summary judgement, in which the court would rule without examining the substance of the case.
",3kyl4i7bfdgwelmf.htm
Lee,"A post criticizing the Singaporean government’s management of the Central Provident Fund (CPF) for retirees got blogger Roy Ngerng into deep trouble with Prime Minister Lee Hsien Loong, who is not only suing him but also seeking a summary judgement, in which the court would rule without examining the substance of the case.
",3kyl4i7bfdgwelmf.htm
Hsien,"A post criticizing the Singaporean government’s management of the Central Provident Fund (CPF) for retirees got blogger Roy Ngerng into deep trouble with Prime Minister Lee Hsien Loong, who is not only suing him but also seeking a summary judgement, in which the court would rule without examining the substance of the case.
",3kyl4i7bfdgwelmf.htm
Loong,"A post criticizing the Singaporean government’s management of the Central Provident Fund (CPF) for retirees got blogger Roy Ngerng into deep trouble with Prime Minister Lee Hsien Loong, who is not only suing him but also seeking a summary judgement, in which the court would rule without examining the substance of the case.
",3kyl4i7bfdgwelmf.htm
Alek,"More
Alek Boyd is a UK-based Venezuelan who blogs about corruption in Venezuela on infodio.com.",3kyl4i7bfdgwelmf.htm
Boyd,"More
Alek Boyd is a UK-based Venezuelan who blogs about corruption in Venezuela on infodio.com.",3kyl4i7bfdgwelmf.htm
Boyd,"Since then, Boyd’s blog has been blocked in Venezuela.
",3kyl4i7bfdgwelmf.htm
Nikki,"The Iranian news website Khabarnegaran.info has just published an article by Nikki Azad entitled “Journalists who worship the government,” which criticizes the lack of neutrality of certain Iranian media since Hassan Rouhani became president.",3kyl4i7bfdgwelmf.htm
Azad,"The Iranian news website Khabarnegaran.info has just published an article by Nikki Azad entitled “Journalists who worship the government,” which criticizes the lack of neutrality of certain Iranian media since Hassan Rouhani became president.",3kyl4i7bfdgwelmf.htm
Hassan,"The Iranian news website Khabarnegaran.info has just published an article by Nikki Azad entitled “Journalists who worship the government,” which criticizes the lack of neutrality of certain Iranian media since Hassan Rouhani became president.",3kyl4i7bfdgwelmf.htm
Rouhani,"The Iranian news website Khabarnegaran.info has just published an article by Nikki Azad entitled “Journalists who worship the government,” which criticizes the lack of neutrality of certain Iranian media since Hassan Rouhani became president.",3kyl4i7bfdgwelmf.htm
Nikki,Nikki Azad is not the writer’s real name.,3kyl4i7bfdgwelmf.htm
Azad,Nikki Azad is not the writer’s real name.,3kyl4i7bfdgwelmf.htm
Khabarnegaran,"Khabarnegaran’s journalists use pseudonyms in order to be able to speak their minds.
",3kyl4i7bfdgwelmf.htm
Pedro,"CONATEL chief Pedro Maldonado said 50 websites were concerned by the measure.
",3kyl4i7bfdgwelmf.htm
Maldonado,"CONATEL chief Pedro Maldonado said 50 websites were concerned by the measure.
",3kyl4i7bfdgwelmf.htm
Roy,"A post criticizing the Singaporean government’s management of the Central Provident Fund (CPF) for retirees got blogger Roy Ngerng into deep trouble with Prime Minister Lee Hsien Loong, who is not only suing him but also seeking a summary judgem
",3kyl4i7bfdgwelmf.htm
Ngerng,"A post criticizing the Singaporean government’s management of the Central Provident Fund (CPF) for retirees got blogger Roy Ngerng into deep trouble with Prime Minister Lee Hsien Loong, who is not only suing him but also seeking a summary judgem
",3kyl4i7bfdgwelmf.htm
Lee,"A post criticizing the Singaporean government’s management of the Central Provident Fund (CPF) for retirees got blogger Roy Ngerng into deep trouble with Prime Minister Lee Hsien Loong, who is not only suing him but also seeking a summary judgem
",3kyl4i7bfdgwelmf.htm
Hsien,"A post criticizing the Singaporean government’s management of the Central Provident Fund (CPF) for retirees got blogger Roy Ngerng into deep trouble with Prime Minister Lee Hsien Loong, who is not only suing him but also seeking a summary judgem
",3kyl4i7bfdgwelmf.htm
Loong,"A post criticizing the Singaporean government’s management of the Central Provident Fund (CPF) for retirees got blogger Roy Ngerng into deep trouble with Prime Minister Lee Hsien Loong, who is not only suing him but also seeking a summary judgem
",3kyl4i7bfdgwelmf.htm
Alek,"More
Alek Boyd is a UK-based Venezuelan who blogs about corruption in Venezuela on infodio.com.
",3kyl4i7bfdgwelmf.htm
Boyd,"More
Alek Boyd is a UK-based Venezuelan who blogs about corruption in Venezuela on infodio.com.
",3kyl4i7bfdgwelmf.htm
Nikki,"The Iranian news website Khabarnegaran.info has just published an article by Nikki Azad entitled “Journalists who worship the government,” which criticizes the lack of neutrality of certain Iranian media since Hassan Rouhani became president.
",3kyl4i7bfdgwelmf.htm
Azad,"The Iranian news website Khabarnegaran.info has just published an article by Nikki Azad entitled “Journalists who worship the government,” which criticizes the lack of neutrality of certain Iranian media since Hassan Rouhani became president.
",3kyl4i7bfdgwelmf.htm
Hassan,"The Iranian news website Khabarnegaran.info has just published an article by Nikki Azad entitled “Journalists who worship the government,” which criticizes the lack of neutrality of certain Iranian media since Hassan Rouhani became president.
",3kyl4i7bfdgwelmf.htm
Rouhani,"The Iranian news website Khabarnegaran.info has just published an article by Nikki Azad entitled “Journalists who worship the government,” which criticizes the lack of neutrality of certain Iranian media since Hassan Rouhani became president.
",3kyl4i7bfdgwelmf.htm
Yavuz,"The conservative Turkish daily Sabah fired well-known journalist Yavuz Baydar as its ombudsman on 23 July after refusing to print his last two commentaries.
",3kyl4i7bfdgwelmf.htm
Baydar,"The conservative Turkish daily Sabah fired well-known journalist Yavuz Baydar as its ombudsman on 23 July after refusing to print his last two commentaries.
",3kyl4i7bfdgwelmf.htm
Michael,"More
During the 2011 presidential election campaign, Patriotic Front leader Michael Sata, the opposition challenger, promised to rid the Zambian media of government interference if elected.
",3kyl4i7bfdgwelmf.htm
Sata,"More
During the 2011 presidential election campaign, Patriotic Front leader Michael Sata, the opposition challenger, promised to rid the Zambian media of government interference if elected.
",3kyl4i7bfdgwelmf.htm
